Marine Animal ID,Marine Animal Name,Size limit min (cm),Size limit max (cm),Weight limit (g),Combined possession limit,Special limits,Population ID,Species ID
107,King (Gulf of Carpentaria),60,,,5,,41,8
108,Blue (East coast),40,,,10,,41,8
109,Blue (Gulf of Carpentaria),40,,,20,,41,8
110,Trevally (All),,,,20,,42,8
111,Amberjack,50,,,2,,42,8
112,Samsonfish,50,,,2,,42,8
113,Swallowtail dart,30,,,30,,42,8
114,Giant queenfish,50,,,5,,42,8
115,Yellowtail kingfish,60,,,2,,42,8
116,Trochus (All),8,12.5,,30,,43,8
117,Tropical rock lobster (All),,,,5 per person / 10 per boat in total of all species,,44,8
118,Painted crayfish,,,,5 per person / 10 per boat in total of all species,"11.5cm tail min, 9cm carapace min",44,7
119,Red Champagne Lobster,7.5,,,5 per person / 10 per boat in total of all species,,44,8
120,Wahoo (All),75,,,2,,45,8
121,Sand (summer),23,,,30,,46,8
122,Goldenline ,,,,50,,46,8
123,Northern,,,,10,,46,8
124,Trumpeter (winter),,,,30,,46,8
125,Dorab Wolf herring (All),,,,50,,47,8
126,Beach worm,,,,,,48,8
127,Cribb Island worms,,,,,,48,8
128,Southern herring,,,,,,49,8
129,Common hardyhead,,,,,,49,8
130,Australian sardine,,,,,,49,8
131,Australian anchovy,,,,,,49,8
132,Silver biddy,,,,,,49,8
133,Saltwater yabby,,,,,,49,8
134,Soldier crab,,,,,,49,8
135,Non-regulated worms,,,,,,49,8
136,"Mullet   (excluding diamondscale,  sea and freshwater)",,,,50,,49,8
137,Cuttlefish or squid  (excluding tiger squid),,,,50,,49,8
138,Smooth-clawed rock crab,,,,,,49,8
139,Yellowtail pike,,,,50,,49,8
